Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
"Increasing Vaccination Uptake in Underserved Communities in the Sankuru Province, Democratic Republic of Congo",Corona Management Systems Health and Rural Development Foundation,$7215884,2026-07-28,,Vaccines,All Grants Fund,Democratic Republic of the Congo
Increasing Vaccination Uptake in Underserved Communities in the Kasai Province of the Democratic Republic of Congo,Bluesquare SA,$8819126,2026-07-28,,Vaccines,All Grants Fund,Democratic Republic of the Congo
Seasonal Malaria Chemoprevention Coverage Surveys,ORB International Limited,$1124850,2026-07-24,,"Insecticide-treated nets (ITNs),Seasonal malaria chemoprevention (SMC)",Board Designated,"Burkina Faso,Chad,Mali,Niger"
Livestreaming the American Society of Tropical Medicine and Hygiene Annual Meeting,American Society of Tropical Medicine and Hygiene,$100000,2026-07-21,,Malaria,Board Designated,
Scoping for Insecticide-Treated Net Campaign in Nigeria,Catholic Relief Services - United States Conference of Catholic Bishops,$16714,2026-07-21,,"Malaria,Insecticide-treated nets (ITNs)",All Grants Fund,Nigeria
Development of Freely Available Resources to Support In-line Chlorination Implementation,Mangrove Water,$286714,2026-07-09,,Water,Board Designated,
Scoping Domestic and International Expansion of Wheat Flour Fortifications,Fortification Foundation,$50176,2026-07-07,,Nutrition,Board Designated,
Tuberculosis Data Analysis,Liverpool School of Tropical Medicine,$49500,2026-06-26,,Tuberculosis,All Grants Fund,
Evaluation of Uduma's Scale-Up of In-Line Chlorination Installation and Operations in Mali,The Aquaya Institute,$380884,2026-06-26,,Monitoring and evaluation,Board Designated,Mali
Scoping a Randomized Controlled Trial of an Ultra-Poor Graduation Program in Bangladesh,"BRAC USA, Inc.",$99811,2026-06-24,,"Livelihoods,Research",Board Designated,Bangladesh
"Building an Integrated Customer Relationship Management System to Unify Monitoring and Evaluation, Country, and Risk Data",Malaria Consortium,$2141760,2026-06-19,,Malaria,Board Designated,
Developing New Partnerships with Governments and Utilities to Scale In-line Chlorination,Mangrove Water,$949075,2026-06-18,,Water,Board Designated,
"Randomized Controlled Trial of Dimagi's Mother-Baby Wellness Program in Kaduna State, Nigeria",Dimagi Inc,$1284932,2026-06-16,,"""Maternal, neonatal, and child health""",All Grants Fund,Nigeria
Development and Manufacturing an Adapter for TuriTap In-line Chlorinators,Mangrove Water,$1150668,2026-06-12,,Water,All Grants Fund,
Community-Based Water Chlorination Programs,SafeStart Global Inc,$728195,2026-06-11,,"Chlorination,Water",Coefficient Giving,Nigeria
Vitamin A Supplementation in Nigeria,Nutrition International,$10389527,2026-06-10,,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",All Grants Fund,Nigeria
Studying the Effect of R21 Malaria Vaccine,"Clinton Health Access Initiative, Inc.",$400000,2026-06-05,,"Malaria,Vaccines",All Grants Fund,"Burkina Faso,Uganda"
All-Cause Child Mortality Estimates (UN IGME),UNICEF USA,$2391920,2026-06-03,,Research,All Grants Fund,
"Data Collection for a Randomized Controlled Trial on a Village Savings and Loan-led Water Fund, Chlorine Dispensers, and Water Sanitation and Hygiene Sensitization in Uganda",The Aquaya Institute,$270764,2026-05-29,,"Research,Water",Board Designated,Uganda
Scale-up of In-line Chlorination in Mali,Uduma,$1374907,2026-05-27,,"Chlorination,Water",Board Designated,Mali
Randomized Controlled Trial of India’s Economic Inclusion Program in Telangana State,Institute for Financial Management and Research,$200000,2026-05-26,,Livelihoods,Board Designated,India
ITN Campaigns in DRC in 2027-2029,Against Malaria Foundation,$261056564,2026-05-25,https://www.givewell.org/research/grants/Against-Malaria-Foundation-ITN-Campaigns-in-DRC-in-2027-2029-May-2026,"Malaria,Insecticide-treated nets (ITNs)","Coefficient Giving,Top Charities Fund",Democratic Republic of the Congo
Oral Rehydration Solution and Zinc Distribution in Chad,Clear Solutions UK,$2120935,2026-05-21,,Oral rehydration solution (ORS),Coefficient Giving,Chad
Randomized Controlled Trial of Illiquid Cash Transfers in Burundi,"University of California, Berkeley",$101500,2026-05-19,,"Livelihoods,Research",Board Designated,Burundi
Randomized Controlled Trial of Lump Sum Program,GiveDirectly,$111502,2026-05-18,,"Livelihoods,Research",Board Designated,
Research Fund to Facilitate Generating Value of a Statistical Life Estimates,Massachusetts Institute of Technology,$900000,2026-05-15,,Research,All Grants Fund,
Seasonal Malaria Chemoprevention Campaign in Ghana,PATH,$1425219,2026-05-13,,Seasonal malaria chemoprevention (SMC),All Grants Fund,Ghana
Expansion of Vitamin A Supplementation in Mali,Helen Keller International,$881612,2026-05-13,,Vitamin A supplementation (VAS),Top Charities Fund,Mali
Survey Delivery Unit,Innovations for Poverty Action,$954000,2026-05-12,https://www.givewell.org/research/grants/Survey-Delivery-Units-Service-Contracts-with-IDinsight-and-IPA-July-2026,Monitoring and evaluation,Operating Funds,
Survey Delivery Unit,ID Insight Inc,$1113805,2026-05-12,https://www.givewell.org/research/grants/Survey-Delivery-Units-Service-Contracts-with-IDinsight-and-IPA-July-2026,Monitoring and evaluation,Operating Funds,
Vaccination Coverage Surveys in the Maniema Province of the Democratic Republic of Congo,Université de Kinshasa,$1564490,2026-05-11,,"Vaccines,Monitoring and evaluation",All Grants Fund,Democratic Republic of the Congo
"Vaccination Outreach in Maniema, DRC",Acasus AB Project Management Services - FZCO,$7686285,2026-04-30,,"Technical assistance,Vaccines",Board Designated,Democratic Republic of the Congo
Vitamin A Supplementation Coverage Surveys,Innovations for Poverty Action,$504481,2026-04-29,,"Nutrition,Oral rehydration solution (ORS),Supplementation,Vitamin A supplementation (VAS)",Board Designated,Nigeria
Dual-AI Nets Campaign Evaluation,Innovations for Poverty Action,$1141685,2026-04-28,,Malaria,Board Designated,Nigeria
Piped Water Installation,Water4 Inc,$5161013,2026-04-27,,Water,All Grants Fund,Sierra Leone
Lenacapavir for HIV Pre-Exposure Prophylaxis,"Clinton Health Access Initiative, Inc.",$4530813,2026-04-27,,HIV/AIDS,"All Grants Fund,Individual donor","Indonesia,Vietnam"
Validating Yield Effects of Raising the Village's Randomized Controlled Trial via Satellite Imagery and Remote Sensing,The Board of Trustees of the Leland Stanford Junior University,$38316,2026-04-24,,"Livelihoods,Research",Board Designated,Uganda
Scoping Long-Term Follow-Ups of Randomized Controlled Trials of Ultra-Poor Graduation Programs.,Innovations for Poverty Action,$57576,2026-04-23,,Research,Board Designated,
"Distribution Logistics for Family Planning Commodities in the Democratic Republic of Congo, Zambia, and Malawi",MSI US,$2321418,2026-04-20,,Family planning,Board Designated,"Democratic Republic of the Congo,Malawi,Zambia"
Layering of Oral Rehydration Solution and Zinc Distribution with Seasonal Malaria Chemoprevention in Nigeria,Clear Solutions UK,$239286,2026-04-17,,Oral rehydration solution (ORS),Coefficient Giving,Nigeria
Scoping for potential RCT of Zipline,ID Insight Inc,$52091,2026-04-16,,"Research,Vaccines",Board Designated,Nigeria
"Layering of Oral Rehydration Solution and Zinc Distribution with Maternal, Newborn, and Child Health Week in Nigeria",Clear Solutions UK,$151456,2026-04-16,,Oral rehydration solution (ORS),Coefficient Giving,Nigeria
Post Event Coverage Surveys to Evaluate Vitamin A Supplementation Coverage in Regions of the Democratic Republic of Congo,Helen Keller International,$406222,2026-04-14,,"Research,Vitamin A supplementation (VAS)",Board Designated,Democratic Republic of the Congo
Scoping a Randomized Controlled Trial of of Raising the Village's Bundled Agriculture Program in Uganda,International Initiative for Impact Evaluation (3ie),$20000,2026-04-10,,"Livelihoods,Research",Board Designated,Uganda
Research on Spatial Emanator Distribution in Burkina Faso and Sierra Leone,"Clinton Health Access Initiative, Inc.",$714490,2026-04-08,,"Malaria,Research",All Grants Fund,"Burkina Faso,Sierra Leone"
Vaccination Outreach in Salamat and Sila Provinces of Chad,International Rescue Committee,$3511707,2026-04-07,,Vaccines,All Grants Fund,Chad
Provision of Insecticide-Treated Nets to Protect Those at Risk from Malaria,Against Malaria Foundation,$9000000,2026-03-31,,Insecticide-treated nets (ITNs),Top Charities Fund,Democratic Republic of the Congo
Long-term Follow-up of A Pre-School Program in Mozambique,International Initiative for Impact Evaluation (3ie),$1109330,2026-03-31,,"Education,Livelihoods",All Grants Fund,Mozambique
Flood Risk and Revealed Health Preferences Study,"University of California, Berkeley",$66000,2026-03-31,,"Moral weights,Research",Board Designated,Sierra Leone
Health and Democracy Revealed Preferences Work,New York University,$60352,2026-03-31,,Research,Board Designated,Kenya
Pesticide Risk and Revealed Health Preferences Study,"University of California, Berkeley",$55611,2026-03-31,,"Agriculture,Research",Board Designated,India
Co-Delivery of Vitamin A Supplementation and Seasonal Malaria Chemoprevention in Nigeria,Malaria Consortium,$1203279,2026-03-30,,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",All Grants Fund,Nigeria
Building and Testing Test Strips to Detect Chemical Contaminants in Drinking Water,The Aquaya Institute,$300980,2026-03-30,,Water,All Grants Fund,Kenya
Post Event Coverage Surveys to Evaluate Vitamin A Supplementation Coverage in Regions of Madagascar,Helen Keller International,$199806,2026-03-27,,Vitamin A supplementation (VAS),Board Designated,Madagascar
Vitamin A Supplementation in DRC,UNICEF USA,$526094,2026-03-27,,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",All Grants Fund,Democratic Republic of the Congo
"Malnutrition Treatment in Katsina, Nigeria",ALIMA USA,$4729564,2026-03-27,,"Nutrition,Malnutrition","Board Designated,All Grants Fund,Individual donor",Nigeria
Community-Based Family Planning Program,Lafiya Nigeria Ltd.,$1000000,2026-03-26,,Family planning,Board Designated,Nigeria
Treatment Arm of a Randomized Controlled Trial of Grants and Facilitation Program in Malawi,Spark Microgrants,$2710052,2026-03-25,,"Cash transfers,Research",All Grants Fund,Malawi
Support early stage water innovations,Development Innovation Ventures Fund,$5000000,2026-03-25,,Water,Board Designated,
Bridge Grant for Vaccination Outreach RCT,Wageningen University,$125703,2026-03-24,,"Research,Vaccines",Board Designated,Sierra Leone
Evaluation of GiveWell-Funded Malnutrition Treatment Programs,ID Insight Inc,$695859,2026-03-20,,"Nutrition,Malnutrition,Monitoring and evaluation",Board Designated,Nigeria
