"sample_id","source_record_id","ein","name","bucket","ntee","metadata_signal_score","selection_hash","exact_contract_matches","contract_ids","contract_scope","local_relevance","plausible_intervention","decision","reason","primary_url","primary_checked","primary_finding","review_status","population","dose","cost_anchor","utility_bridge","funding_room_usd","priority_rank"
"1","irs:942687079","942687079","FAMILY CAREGIVER ALLIANCE","clinical","E50Z","2","0bbeb5026c4c2dea4fc16cabc0fcb3289892cba0b0f01ea8334f22c3f9e1cd72","1","1000038672","HSA-DAS FCA Temp Respite FY","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Caregiver respite/counseling: distinguish caregiver utility from care-recipient benefit.","priority-program-diligence","Caregiver respite/counseling: distinguish caregiver utility from care-recipient benefit. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.caregiver.org/connecting-caregivers/bay-area-caregiver-center/","2026-09-08","Provider verifies SF-inclusive caregiver consultation, respite eligibility and counseling; names state/county funders. Research incremental caregiver mental-health course, not all referrals.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","1"
"2","irs:943269300","943269300","RECOVERY SURVIVAL NETWORK","clinical","F20Z","2","706966f1c7fe9082f82e949d0bb7614ae2296e7eb89595f68d3ef7dcdb286177","1","1000033373","ADP-Housing & Supportive Servs","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Recovery support: test sustained treatment retention rather than certificates.","priority-program-diligence","Recovery support: test sustained treatment retention rather than certificates. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.rsn2000.org/","2026-09-08","Provider verifies SF NoVA intensive case management and peer support; explicitly no longer provides introductory computer training. Current capacity and date of program text unknown.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","2"
"3","irs:800258044","800258044","PHATT CHANCE COMMUNITY SERVICES INC","clinical","F20","2","9d30d0cb1165ac3a8f5bc1acc01d6c3522307beb606609be8295d4c2e05ca21c","1","1000033360","Unspecified","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Community-service name plus contract signal: resolve actual clinical service before modeling.","priority-for-identity-and-program-check","Community-service name plus contract signal: resolve actual clinical service before modeling. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"4","irs:943098879","943098879","RAFIKI COALITION FOR HEALTH AND WELLNESS","clinical","G81Z","2","b40ab9711bb3119210c22e7d6135139c11315890daff3a62ac7ddafd80d725be","9","1000020911|1000024732|1000025064|1000028958|1000028959|1000031983|1000038367|1000038442|1000038467","DPH Non Medical HIV Case Mgmt | DPH CHEP HAP Black AA | DPH Black African American Com | DPH - RFGA 7482 | DPH - RFGA 7781 | MYR-203991-23 | HRC-DKI-HW04-26-005RafikiCoali | HRC-DKI-HW01-26-004RafikiCoali | HRC-DKI-HW01-26-004-RafikiCoal","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Perinatal mental-health treatment merits separation from wellness modalities.","priority-program-diligence","Perinatal mental-health treatment merits separation from wellness modalities. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://rafikicoalition.org/","2026-09-08","Provider lists perinatal/maternal mental health and clinical support alongside alternative wellness modalities; select clinical treatment, not all wellness claims. Dose and payer gap unknown.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","3"
"5","irs:943184812","943184812","NICOS CHINESE HEALTH COALITION","clinical","E70Z","2","b8a2713fd9ff6a478c914a4f45e44018949b9233ab997411c59fa9ac2b273843","1","1000010092","DPH Children's Oral Hlth & DTI","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Children's oral-health contract suggests completed prevention/care rather than education alone.","priority-program-diligence","Children's oral-health contract suggests completed prevention/care rather than education alone. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.cavityfreesf.org/taskforces-chinatown/","2026-09-08","CavityFreeSF collaboration identifies NICOS leading Chinatown children oral-health task force. Completed dental service versus outreach not yet resolved; existing oral-health contract overlap.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","4"
"6","irs:941156295","941156295","UCSF HEALTH COMMUNITY HOSPITALS","clinical","E220","2","d3f5bb7fbc71225e0df4836a2953982fe589d7151cc0703f722d2d14e4d8fe37","4","1000008493|1000033779|1000035632|1000037158","DPH BHS - visitation services | Prime | DPH-DH HHS Outpatient Support | UCSF St. Mary's Medical Center","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Hospital system: defer broad organization; require narrow externally fundable service.","defer-scope-or-role","Hospital system: defer broad organization; require narrow externally fundable service. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"7","irs:392459582","392459582","CLEANCUT HEALTH FOUNDATION","clinical","E99","1","06fe62fc5c9eff2b13ee740462af58f45042d532c6da0b138fe78e7203355a5a","0","","","SF IRS filing address only; actual Bay delivery unknown","Health-foundation name alone: establish direct care versus grantmaking.","priority-for-identity-and-program-check","Health-foundation name alone: establish direct care versus grantmaking. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"8","irs:844864441","844864441","FOUNDATION FOR EYE HEALTH AND EDUCATION","clinical","G41","1","130da6e9c92358185bd679cd419d4b0ca907f6773bb0ce770f5dfc68147ee6d7","0","","","SF IRS filing address only; actual Bay delivery unknown","Eye-health education name: check whether it delivers exams or only professional education.","priority-for-identity-and-program-check","Eye-health education name: check whether it delivers exams or only professional education. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"9","irs:522094189","522094189","PROSTATE CANCER RESOURCE","clinical","G30","1","17a5d4b4cd341905dd5ecce94fd51e592b5e7d3480da65f060d5d26081801f53","0","","","SF IRS filing address only; actual Bay delivery unknown","Prostate-cancer resource name: distinguish navigation from research/information.","priority-for-identity-and-program-check","Prostate-cancer resource name: distinguish navigation from research/information. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"10","irs:943211124","943211124","ALLEN COMMUNITY DEVELOPMENT","clinical","E30","1","1b166230ec33ea75b0c244ce40771cafc59f753f73fe9ce7a8a29db9ff31d40a","0","","","SF IRS filing address only; actual Bay delivery unknown","Community-development name conflicts with clinical classification; resolve function.","priority-for-identity-and-program-check","Community-development name conflicts with clinical classification; resolve function. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
